,Rank,Company,Headquarter,RetailSales2014,USASalesGrowth,WorldwideRetailSales,USAPercentageOfWorldwideSales,Stores2014,Growth
1,1,Wal-Mart Stores,"Bentonville, Ark.","$343,624,000 ",2.80%,"$508,465,000 ",67.60%,"5,109",6.90%
2,2,The Kroger Co.,"Cincinnati, Ohio","$103,033,000 ",10.10%,"$103,033,000 ",100.00%,"3,730",5.90%
3,3,Costco,"Issaquah, Wash.","$79,694,000 ",6.60%,"$111,530,000 ",71.50%,464,3.80%
4,4,The Home Depot,Atlanta,"$74,203,000 ",3.60%,"$83,195,000 ",89.20%,"1,965",0.00%
5,5,Walgreen,"Deerfield, Ill.","$72,671,000 ",5.80%,"$75,085,000 ",96.80%,"8,157",1.10%
6,6,Target,Minneapolis,"$72,618,000 ",1.90%,"$74,564,000 ",97.40%,"1,790",-0.20%
7,7,CVS Caremark,"Woonsocket, R.I.","$67,974,000 ",3.60%,"$69,132,000 ",98.30%,"7,808",2.40%
8,8,Lowe's Companies,"Mooresville, N.C.","$54,805,000 ",5.10%,"$56,203,000 ",97.50%,"1,793",4.40%
9,9,Amazon.com,Seattle,"$49,353,000 ",22.60%,"$83,391,000 ",59.20%,N/A,N/A
10,10,Safeway,"Pleasanton, Calif.","$36,330,000 ",-2.10%,"$36,330,000 ",100.00%,"1,326",-0.50%
11,11,Best Buy,"Richfield, Minn.","$35,957,000 ",0.10%,"$42,437,000 ",84.70%,"1,445",-3.20%
12,12,McDonald's,"Oak Brook, Ill.","$35,447,000 ",-1.10%,"$87,786,000 ",40.40%,"14,350",0.50%
13,13,Publix Super Markets,"Lakeland, Fla.","$30,560,000 ",5.70%,"$30,560,000 ",100.00%,"1,296",1.80%
14,14,Apple Store / iTunes,"Cupertino, Calif.","$28,380,000 ",6.50%,"$32,879,000 ",86.30%,259,2.00%
15,15,Macy's,"Cincinnati, Ohio","$28,027,000 ",0.60%,"$28,105,000 ",99.70%,821,-1.90%
16,16,Rite Aid,"Camp Hill, Pa.","$26,528,000 ",3.90%,"$26,528,000 ",100.00%,"4,570",-0.40%
17,17,Royal Ahold / Ahold USA,"Carlisle, Pa.","$25,976,000 ",-0.50%,"$44,121,000 ",58.90%,768,0.10%
18,18,Sears Holdings,"Hoffman Estates, Ill.","$25,763,000 ",-11.80%,"$26,792,000 ",96.20%,"1,659",-12.90%
19,19,TJX,"Framingham, Mass.","$22,206,000 ",5.70%,"$29,061,000 ",76.40%,"2,569",4.70%
20,20,H-E-B Grocery,"San Antonio, Texas","$19,819,000 ",5.70%,"$21,166,000 ",93.60%,317,1.90%
21,21,YUM! Brands,"Louisville, Ky.","$19,727,000 ",2.60%,"$31,051,000 ",63.50%,"17,326",1.00%
22,22,Albertsons,"Boise, Idaho","$19,458,000 ",0.00%,"$19,458,000 ",100.00%,"1,108",8.20%
23,23,Kohl's,"Menomonee Falls, Wis.","$19,023,000 ",0.00%,"$19,023,000 ",100.00%,"1,162",0.30%
24,24,Dollar General,"Googlettsville, Tenn.","$18,910,000 ",8.00%,"$18,910,000 ",100.00%,"11,789",5.90%
25,25,Delhaize America,"Salisbury, N.C.","$17,069,000 ",-8.80%,"$28,417,000 ",60.10%,"1,361",-10.10%
26,26,Meijer,"Grand Rapids, Mich.","$15,689,000 ",0.30%,"$15,689,000 ",100.00%,213,4.40%
27,27,WakeFern / ShopRite,"Keasbey, N.J.","$14,985,000 ",6.30%,"$14,985,000 ",100.00%,330,5.40%
28,28,Ace Hardware,"Oak Brook, Ill.","$14,299,000 ",18.70%,"$14,345,000 ",99.70%,"4,251",1.90%
29,29,BJ's Wholesale Club,"Westborough, Mass.","$13,811,000 ",6.50%,"$13,811,000 ",100.00%,210,4.50%
30,30,Whole Foods Market,"Austin, Texas","$13,642,000 ",9.70%,"$14,060,000 ",97.00%,381,9.80%
31,31,Doctor's Assoc. / Subway,"Milford, Conn.","$13,389,000 ",4.10%,"$24,355,000 ",55.00%,"27,062",1.60%
32,32,Nordstrom,Seattle,"$13,259,000 ",7.50%,"$13,280,000 ",99.80%,283,8.80%
33,33,Gap,San Francisco,"$13,071,000 ",2.00%,"$16,956,000 ",77.10%,"2,465",1.40%
34,34,AT&T Wireless,Dallas,"$12,960,000 ",55.30%,"$12,960,000 ",100.00%,"2,156",-0.20%
35,35,J.C. Penney Co.,"Plano, Texas","$12,184,000 ",3.30%,"$12,257,000 ",99.40%,"1,063",-2.20%
36,36,Aldi,"Batavia, Ill.","$11,728,000 ",7.60%,"$53,522,000 ",21.90%,"1,376",3.60%
37,37,Bed Bath & Beyond,"Union, N.J.","$11,708,000 ",3.20%,"$11,878,000 ",98.60%,"1,466",0.90%
38,38,SUPERVALU,"Eden Prairie, Minn.","$11,499,000 ",4.90%,"$11,499,000 ",100.00%,"1,557",0.80%
39,39,7-Eleven,Dallas,"$11,390,000 ",2.40%,"$88,025,000 ",12.90%,"8,154",0.80%
40,40,Ross Stores,"Pleasanton, Calif.","$11,032,000 ",7.90%,"$11,042,000 ",99.90%,"1,361",6.70%
41,41,Verizon Wireless,"Basking Ridge, N.J.","$10,959,000 ",35.10%,"$10,959,000 ",100.00%,"7,024",-2.60%
42,42,Starbucks,Seattle,"$10,604,000 ",13.50%,"$16,448,000 ",64.50%,"12,560",9.60%
43,43,Family Dollar Stores,"Matthews, N.C.","$10,489,000 ",0.90%,"$10,489,000 ",100.00%,"8,042",1.60%
44,44,Bi-Lo,"Jacksonville, Fla.","$10,362,000 ",16.40%,"$10,362,000 ",100.00%,800,19.80%
45,45,L Brands,"Columbus, Ohio","$10,303,000 ",10.20%,"$10,966,000 ",94.00%,"2,685",1.40%
46,46,Menard,"Eau Claire, Wis.","$9,689,000 ",3.60%,"$9,689,000 ",100.00%,287,2.50%
47,47,Trader Joe's,"Monrovia, Calif.","$9,388,000 ",8.10%,"$37,606,000 ",25.00%,447,5.90%
48,48,Wendy's,"Dublin, Ohio","$8,886,000 ",1.40%,"$9,388,000 ",94.70%,"5,750",-0.70%
49,49,Burger King Worldwide,Miami,"$8,517,000 ",-0.60%,"$17,110,000 ",49.80%,"7,128",-0.40%
50,50,Dollar Tree,"Chesapeake, Va.","$8,390,000 ",9.40%,"$8,596,000 ",97.60%,"5,157",7.20%
51,51,Hy-Vee,"West Des Moines, Iowa","$7,895,000 ",4.10%,"$7,895,000 ",100.00%,236,1.30%
52,52,Army / Air Force Exchange,Dallas,"$7,738,000 ",-0.60%,"$7,738,000 ",100.00%,610,7.00%
53,53,Dunkin' Brands Group,"Canton, Mass.","$7,720,000 ",6.40%,"$9,774,000 ",79.00%,"10,566",4.20%
54,54,Health Mart Systems,"Omaha, Neb.","$7,623,000 ",2.60%,"$10,382,000 ",73.40%,"3,419",6.90%
55,55,AutoZone,"Memphis, Tenn.","$7,523,000 ",3.00%,"$9,132,000 ",82.40%,"4,947",3.00%
56,56,"Toys ""R"" Us","Wayne, N.J.","$7,450,000 ",-1.30%,"$14,561,000 ",51.20%,"1,132",-0.10%
57,57,Wegmans Food Market,"Rochester, N.Y.","$7,405,000 ",5.80%,"$7,405,000 ",100.00%,85,2.40%
58,58,O'Reilly Automotive,"Springfield, Mo.","$7,216,000 ",8.50%,"$7,216,000 ",100.00%,"4,366",4.80%
59,59,DineEquity,"Glendale, Calif.","$7,137,000 ",2.30%,"$7,589,000 ",94.00%,"3,449",0.70%
60,60,Giant Eagle,"O'Hara Township, Pa.","$7,056,000 ",2.50%,"$7,056,000 ",100.00%,429,1.90%
61,61,Sherwin-Williams,"Cleveland, Ohio","$7,047,000 ",13.20%,"$7,360,000 ",95.80%,"3,764",2.10%
62,62,Dick's Sporting Goods,"Coraopolis, Pa.","$6,811,000 ",9.70%,"$6,811,000 ",100.00%,695,8.30%
63,63,Staples,"Framingham, Mass.","$6,607,000 ",-5.30%,"$9,573,000 ",69.00%,"1,364",-10.00%
64,64,Office Depot,"Boca Raton, Fla.","$6,587,000 ",54.00%,"$8,106,000 ",81.30%,"1,745",60.20%
65,65,Dillard's,"Little Rock, Ark.","$6,490,000 ",0.80%,"$6,490,000 ",100.00%,297,0.30%
66,66,Good Neighbor Pharmacy,"Chesterbrook, Pa.","$6,414,000 ",-11.80%,"$6,414,000 ",100.00%,"3,096",-1.90%
67,67,Darden Restaurants,"Orlando, Fla.","$6,259,000 ",-21.40%,"$6,286,000 ",99.60%,"2,174",3.30%
68,68,GameStop,"Grapevine, Texas","$6,225,000 ",0.90%,"$8,683,000 ",71.70%,"4,198",-1.70%
69,69,PetSmart,Phoenix,"$6,073,000 ",2.40%,"$6,897,000 ",88.10%,"1,291",4.40%
70,70,QVC,"West Chester, Pa.","$5,972,000 ",3.60%,"$8,718,000 ",68.50%,N/A,N/A
71,71,Chick-fil-A,Atlanta,"$5,936,000 ",14.40%,"$5,936,000 ",100.00%,"1,890",6.50%
72,72,WinCo Foods,"Boise, Idaho","$5,872,000 ",7.90%,"$5,872,000 ",100.00%,98,6.50%
73,73,Tractor Supply Co.,"Brentwood, Tenn.","$5,820,000 ",12.70%,"$5,820,000 ",100.00%,"1,382",8.30%
74,74,Barnes & Noble,New York,"$5,790,000 ",-4.20%,"$5,790,000 ",100.00%,"1,364",0.20%
75,75,A&P,"Montvale, N.J.","$5,630,000 ",-5.80%,"$5,630,000 ",100.00%,283,-2.40%
76,76,AVB Brandsource,"Tustin, Calif.","$5,268,000 ",1.50%,"$5,425,000 ",97.10%,"3,018",1.70%
77,77,Signet Jewelers,"Akron, Ohio","$5,251,000 ",49.30%,"$6,312,000 ",83.20%,"2,868",95.00%
78,78,Foot Locker,New York,"$5,239,000 ",7.00%,"$7,267,000 ",72.10%,"2,369",-2.10%
79,79,Big Lots,"Columbus, Ohio","$5,177,000 ",1.40%,"$5,177,000 ",100.00%,"1,460",-2.20%
80,80,Hudson's Bay,"Ontario, Canada","$5,174,000 ",254.10%,"$7,937,000 ",65.20%,165,236.70%
81,81,Alimentation Couche-Tard,"Tempe, Ariz.","$5,167,000 ",6.10%,"$8,983,000 ",57.50%,"4,044",5.00%
82,82,Defense Commissary Agency,"Fort Lee, Va.","$4,890,000 ",-2.50%,"$4,890,000 ",100.00%,179,0.00%
83,83,Neiman Marcus,Dallas,"$4,823,000 ",3.80%,"$4,823,000 ",100.00%,87,2.40%
84,84,Jack in the Box,"San Diego, Calif.","$4,781,000 ",1.20%,"$4,781,000 ",100.00%,"2,888",0.80%
85,85,Ascena Retail Group,"Suffern, N.Y.","$4,713,000 ",0.80%,"$4,850,000 ",97.20%,"3,834",-0.20%
86,86,Burlington Coat Factory,"Burlington, N.J.","$4,707,000 ",6.90%,"$4,761,000 ",98.90%,530,4.10%
87,87,Ikea North America Services,"Conshohocken, Pa.","$4,611,000 ",7.90%,"$38,437,000 ",12.00%,40,5.30%
88,88,Williams-Sonoma,San Francisco,"$4,591,000 ",6.60%,"$4,682,000 ",98.10%,594,2.20%
89,89,Save Mart Supermarkets,"Modesto, Calif.","$4,518,000 ",-2.50%,"$4,518,000 ",100.00%,217,-3.60%
90,90,Panera Bread Company,"St. Louis, Mo.","$4,487,000 ",4.60%,"$4,487,000 ",100.00%,"1,880",5.80%
91,91,Advance Auto Parts,"Roanoke, Va.","$4,379,000 ",6.40%,"$4,406,000 ",99.40%,"4,098",1.90%
92,92,Michaels Stores,"Irving, Texas","$4,277,000 ",3.50%,"$4,738,000 ",90.30%,"1,170",2.00%
93,93,True Value Co.,Chicago,"$4,117,000 ",5.80%,"$3,891,000 ",98.00%,"4,602",2.40%
94,94,Domino's Pizza,"Ann Arbor, Mich.","$4,116,000 ",9.20%,"$8,915,000 ",46.20%,"5,067",1.60%
95,95,Belk,"Charlotte, N.C.","$4,110,000 ",1.80%,"$4,110,000 ",100.00%,297,-0.70%
96,96,Chipotle Mexican Grill,"Denver, Colo.","$4,069,000 ",27.90%,"$4,108,000 ",99.00%,"1,766",11.80%
97,97,Sonic,"Oklahoma City, Okla.","$4,033,000 ",3.90%,"$4,033,000 ",100.00%,"3,518",0.00%
98,98,Stater Bros. Holdings,"San Bernardino, Calif.","$3,910,000 ",1.60%,"$3,910,000 ",100.00%,167,0.60%
99,99,Price Chopper Supermarkets,"Schenectady, N.Y.","$3,890,000 ",2.80%,"$3,890,000 ",100.00%,135,2.30%
100,100,Dell,"Round Rock, Texas","$3,868,000 ",-5.80%,"$3,868,000 ",100.00%,N/A,N/A
