"Date","Open","High","Low","Close","Adj Close","Volume"
"Feb 12, 2021","270.52","271.18","268.71","269.20","269.20","3,373,138"
"Feb 11, 2021","271.89","273.58","268.49","270.39","270.39","12,801,300"
"Feb 10, 2021","272.45","273.80","267.72","271.87","271.87","14,687,200"
"Feb 09, 2021","266.44","273.39","265.75","269.45","269.45","14,613,400"
"Feb 08, 2021","268.75","269.86","265.00","266.58","266.58","13,755,200"
"Feb 05, 2021","266.80","269.17","265.67","268.10","268.10","12,441,700"
"Feb 04, 2021","267.01","268.16","264.00","266.49","266.49","16,060,000"
"Feb 03, 2021","265.62","269.20","263.84","266.65","266.65","14,223,400"
"Feb 02, 2021","264.00","268.85","263.27","267.08","267.08","17,320,800"
"Feb 01, 2021","259.52","264.17","254.91","262.01","262.01","22,914,300"
"Jan 29, 2021","265.30","266.56","254.85","258.33","258.33","30,389,500"
"Jan 28, 2021","277.18","286.79","264.70","265.00","265.00","37,758,800"
"Jan 27, 2021","282.53","283.45","268.12","272.14","272.14","35,346,200"
"Jan 26, 2021","278.14","285.39","277.81","282.05","282.05","19,373,600"
"Jan 25, 2021","278.14","280.10","271.51","278.01","278.01","19,087,000"
"Jan 22, 2021","272.01","278.47","272.00","274.50","274.50","21,910,000"
"Jan 21, 2021","269.26","273.60","267.49","272.87","272.87","20,838,700"
"Jan 20, 2021","268.93","270.32","263.60","267.48","267.48","25,199,900"
"Jan 19, 2021","256.90","262.20","252.72","261.10","261.10","28,028,500"
"Jan 15, 2021","247.90","253.86","247.16","251.36","251.36","24,786,100"
"Jan 14, 2021","253.40","255.03","244.61","245.64","245.64","29,739,400"
"Jan 13, 2021","251.55","253.95","249.20","251.64","251.64","19,528,900"
"Jan 12, 2021","256.63","259.72","250.30","251.09","251.09","26,449,900"
"Jan 11, 2021","260.48","263.47","255.90","256.84","256.84","30,412,300"
"Jan 08, 2021","268.31","268.95","263.18","267.57","267.57","18,512,500"
"Jan 07, 2021","265.90","271.61","264.78","268.74","268.74","15,789,800"
"Jan 06, 2021","262.00","267.75","260.01","263.31","263.31","24,354,100"
"Jan 05, 2021","268.29","272.40","268.21","270.97","270.97","9,871,600"
"Jan 04, 2021","274.78","275.00","265.20","268.94","268.94","15,106,100"
"Dec 31, 2020","272.00","277.09","269.81","273.16","273.16","12,892,900"
"Dec 30, 2020","277.95","278.08","271.71","271.87","271.87","11,803,800"
"Dec 29, 2020","276.95","280.51","276.28","276.78","276.78","16,383,000"
"Dec 28, 2020","268.74","277.30","265.66","277.00","277.00","23,299,700"
"Dec 24, 2020","268.88","270.40","266.20","267.40","267.40","6,702,000"
"Dec 23, 2020","266.89","272.17","266.23","268.11","268.11","14,329,000"
"Dec 22, 2020","271.50","271.50","264.63","267.09","267.09","17,312,900"
"Dec 21, 2020","272.98","274.67","267.79","272.79","272.79","16,553,700"
"Dec 18, 2020","275.77","278.00","271.14","276.40","276.40","26,693,200"
"Dec 17, 2020","277.07","280.44","273.61","274.48","274.48","16,377,800"
"Dec 16, 2020","274.76","277.86","272.51","275.67","275.67","15,885,000"
"Dec 15, 2020","274.83","276.08","267.47","275.55","275.55","23,979,500"
"Dec 14, 2020","273.37","277.22","271.56","274.19","274.19","16,376,900"
"Dec 11, 2020","274.53","276.48","270.25","273.55","273.55","14,391,400"
"Dec 10, 2020","275.54","278.73","271.86","277.12","277.12","20,065,100"
"Dec 09, 2020","283.66","287.63","271.75","277.92","277.92","25,189,700"
"Dec 08, 2020","286.01","286.43","281.55","283.40","283.40","10,747,700"
"Dec 07, 2020","279.19","288.49","278.20","285.58","285.58","13,007,700"
"Dec 04, 2020","280.30","283.46","279.30","279.70","279.70","10,880,300"
"Dec 03, 2020","286.25","286.65","281.07","281.85","281.85","12,921,700"
"Dec 02, 2020","285.36","291.78","280.83","287.52","287.52","17,361,600"
"Dec 01, 2020","279.16","289.30","278.96","286.55","286.55","20,777,900"
"Nov 30, 2020","276.03","277.70","271.01","276.97","276.97","16,693,300"
"Nov 27, 2020","277.39","279.13","274.82","277.81","277.81","7,808,400"
"Nov 25, 2020","278.14","280.18","272.65","275.59","275.59","12,467,000"
"Nov 24, 2020","268.49","277.82","267.87","276.92","276.92","16,930,400"
"Nov 23, 2020","270.89","270.95","264.53","268.43","268.43","20,990,800"
"Nov 20, 2020","272.56","273.00","269.41","269.70","269.70","18,114,700"
"Nov 19, 2020","271.02","273.47","269.19","272.94","272.94","12,963,700"
"Nov 18, 2020","274.52","277.39","271.84","271.97","271.97","12,152,900"
"Nov 17, 2020","277.68","277.68","273.29","275.00","275.00","15,040,300"
"Nov 16, 2020","275.05","279.41","274.63","278.96","278.96","12,970,400"
"Nov 13, 2020","277.72","277.76","273.10","276.95","276.95","10,391,200"
"Nov 12, 2020","277.18","279.75","274.43","275.08","275.08","12,899,500"
"Nov 11, 2020","273.47","278.40","272.48","276.48","276.48","14,957,000"
"Nov 10, 2020","273.10","274.00","264.00","272.43","272.43","29,067,700"
"Nov 09, 2020","289.87","292.58","278.53","278.77","278.77","25,117,700"
"Nov 06, 2020","293.95","294.60","288.06","293.41","293.41","13,891,000"
"Nov 05, 2020","291.90","297.38","288.95","294.68","294.68","23,823,600"
"Nov 04, 2020","281.00","288.94","278.62","287.38","287.38","35,364,400"
"Nov 03, 2020","263.16","270.05","260.88","265.30","265.30","17,961,900"
"Nov 02, 2020","264.60","270.47","257.34","261.36","261.36","27,165,700"
"Oct 30, 2020","274.50","276.70","259.10","263.11","263.11","47,247,800"
"Oct 29, 2020","276.55","283.60","273.78","280.83","280.83","32,368,100"
"Oct 28, 2020","278.79","278.79","267.26","267.67","267.67","23,121,800"
"Oct 27, 2020","278.76","284.51","276.31","283.29","283.29","16,287,200"
"Oct 26, 2020","283.16","285.23","274.26","277.11","277.11","21,322,900"
"Oct 23, 2020","278.80","285.24","276.82","284.79","284.79","17,535,200"
"Oct 22, 2020","279.87","282.45","275.04","278.12","278.12","16,720,000"
"Oct 21, 2020","279.56","283.05","276.37","278.73","278.73","28,998,600"
"Oct 20, 2020","263.06","269.70","262.88","267.56","267.56","18,763,200"
"Oct 19, 2020","265.53","268.55","259.88","261.40","261.40","13,587,000"
"Oct 16, 2020","267.38","271.37","265.30","265.93","265.93","16,622,700"
"Oct 15, 2020","267.60","269.04","263.67","266.72","266.72","15,416,100"
"Oct 14, 2020","277.62","278.75","271.50","271.82","271.82","15,577,800"
"Oct 13, 2020","277.58","279.10","273.39","276.14","276.14","18,063,300"
"Oct 12, 2020","270.20","280.18","267.87","275.75","275.75","31,019,300"
"Oct 09, 2020","264.52","264.75","262.17","264.45","264.45","14,107,800"
"Oct 08, 2020","259.75","264.62","259.15","263.76","263.76","16,312,800"
"Oct 07, 2020","259.21","260.18","254.82","258.12","258.12","23,133,400"
"Oct 06, 2020","261.78","265.69","258.24","258.66","258.66","18,696,900"
"Oct 05, 2020","262.20","264.87","260.84","264.65","264.65","12,822,300"
"Oct 02, 2020","261.21","265.15","259.18","259.94","259.94","16,367,600"
"Oct 01, 2020","265.35","268.33","264.80","266.63","266.63","20,009,800"
"Sep 30, 2020","261.98","266.08","260.10","261.90","261.90","20,142,500"
"Sep 29, 2020","257.81","263.33","256.90","261.79","261.79","20,200,200"
"Sep 28, 2020","259.40","259.60","254.82","256.82","256.82","18,826,300"
"Sep 25, 2020","249.40","255.75","246.61","254.82","254.82","18,351,300"
"Sep 24, 2020","246.50","252.24","245.62","249.53","249.53","20,006,800"
"Sep 23, 2020","255.26","257.99","248.15","249.02","249.02","19,641,300"
"Sep 22, 2020","253.31","255.32","248.22","254.75","254.75","30,293,100"
